"Course","Description","Co-requisite"
"FIN2100","This course provides students with a foundational understanding of personal finance principles and practices. Through readings, interactive discussions, case studies, and practical exercises, students will develop the knowledge and skills to make informed financial decisions.",""
"FIN3000","A survey of finance and introduction to investments. Course units include: financial analysis, forecasting, and valuation; alternative sources of financing, including analysis of debt and equity securities from the viewpoints of both the firm and the investor; and management of current, intermediate, and long-term assets.",""
"FIN3200","Patterns of individual and family earnings; budgeting principles, consumer credit practices, and sources; insurance, savings, investment, and home ownership guidance. The course has been designed to be practical and comprehensive.",""
"FIN3300","A fundamental course in investments. The course features: security analysis and portfolio management, analysis of financial statements, valuation of stocks and fixed-income securities, and the study of efficient diversification and risk-return management.",""
"FIN6400","A course that presents the perspective of the chief financial officer (CFO) and deals with advanced techniques for determining the capital budget and structure, dividend policy, risk analysis, long-term financing decisions, and forecasting. Financial decision-making as an integral, practical component of the leadership and managerial functions within the firm constitutes the major unit of study in this course.",""
"FR1100","An introduction to written and spoken French. This is the first semester of a two-semester sequence.",""
"GEOG1500","This course studies the geography of the world’s major culture regions. Emphasis is placed on the geographic foundations and cultural characteristics, changes, and divisions that provide insight and understanding to current world events and issues.",""
"HAWN1200","An introduction to written and spoken Hawaiian, as well as various aspects of traditional Hawaiian culture. This is the second semester of a two-semester sequence.",""
"HIST1001","This course is an interpretative survey of the development of cultures from prehistoric times to A.D. 1500. Students will analyze the characteristics of human societies, explore how human cultures have interacted with each other over time, and investigate the evolution of global exchange and the ideas, concepts, and phenomena that have connected and divided people across regional boundaries and time.",""
"HIST3650","The History of Oil in the Modern World will explore the rise of oil as a strategic commodity and its influence on world politics and economic systems in the modern period, from its discovery in 1859 to its role in the strategic relationships between the Middle East and other nations today. We will study its uses and the dominance of Western oil companies in its extraction in Russia, the Middle East, Indonesia, Venezuela, Nigeria, and Libya. The role of oil in our daily lives and the global and local impacts of the use of oil will also be examined.",""
"HIST4961","An examination of selected topics in military history; possible topics for the course may include the development of the art of war in Western Europe or the clash between western military methods and those of other regions including the Middle East and Asia. Students will read some of the latest works in military history that show the trends in the “new military history” that emphasizes institutions as well as “battle studies.” Capstone course.",""
"HIST6628","This graduate readings course introduces students to some of the most recent and influential literature on, as well as the major historical themes and controversies regarding, the Second World War. Topics may include: race and ideology, the Holocaust, campaign analyses, military effectiveness, strategic decision-making, operational art, and coalition war-fighting.",""
"HIST6650","This course will explore the history of oil, its growth as a crucial strategic commodity, and questions about whether the current world oil system is sustainable. Students will study the dominance of Western oil companies, the struggle of nations to secure access to oil, and oil sustainability.",""
"HTM3110","A study of the organizational structure and operation of hotels and their various departments. Emphasis is on management concepts and the decision-making process. The course has an international orientation, taking into account variations in human and material resources.",""
"HTM3610","A course that focuses on the resources and variables available in developing a successful marketing strategy in the travel industry, i.e., market research, advertising and promotion, sales techniques, and public relations. The travel industry distribution network and the integrated marketing efforts of the various components of the hotel and travel industry are also addressed.",""
"HUM3900","The presentation of analytical techniques for understanding humanistic works and exercises for developing advanced expository writing skills. Progressively intricate library research projects culminating in a major research paper.",""
"INTR1000","This course introduces students to some of the most important and recent thinking on the new international system. How should we think about this new world that is marked by the integration of globalization and the division of terrorism and genocide? Students will be introduced to several of the major works by well-known thinkers on both previous international systems and new views of what the present and future international system will be. Possible topics explored can include global ideological conflict, the spread of liberalism, the clash of civilizations, imperial systems, the rise of Asia and the decline of the West, etc.",""
"INTR3350","A course that introduces students to the development of universal human rights’ norms in the international system. The seminar examines contemporary debates concerning the universal implementation of human rights; efforts to implement these at the national, regional, and international levels; and the links between human rights and democratization.",""
"JPE1100","An introduction to written and spoken Japanese, as well as Japanese culture. This is the first semester of a two-semester sequence.",""
"JPE2100","Conversation, reading, grammar, and Japanese culture. This is the first semester of a two-semester sequence.",""
"JPE3100","Advanced conversation, reading, grammar, and Japanese culture. This is the first semester of a two-semester sequence.",""
"KOR1100","An introduction to written and spoken contemporary Korean, as well as Korean culture. This is the first semester of a two-semester sequence.",""
"KOR2100","Conversation, reading, grammar, and Korean culture. This is the first semester of a two-semester sequence.",""
"MARS1020","An introduction to working safely and efficiently from a coastal research vessel. Topics include: maritime terminology, positioning, and navigation; basic maritime weather; shipboard sampling; and measurement techniques. The course includes lectures and field sessions aboard the R/V Kaholo. Required for incoming freshmen and strongly recommended for transfer students.",""
"MARS1500","The oceans and atmosphere impact and are impacted by virtually all life on earth, and our knowledge of the diversity and consequences of anthropogenic impacts on these systems is growing steadily. This course will provide a foundation of knowledge on marine biological systems and then discuss how the world oceans and surrounding environments affect and are affected by people from an economic, cultural, and political perspective.",""
"MARS3000","An introduction to geological, physical and chemical oceanography. Topics include: earth history, plate tectonics, geophysics, geochemistry, marine sediments, physical properties of salt water, major and minor components of seawater, ocean-atmosphere interactions, weather and climate, ocean circulation, waves, tides, and coastal oceanography.",""
"MARS3001","Laboratory and field component of MARS 3000. Students will practice making oceanographic measurements and will summarize their findings in scientific reports.",""
"MARS3930","This seminar course is designed to expose undergraduate students to the latest developments and discoveries in Marine Science, by taking advantage of scientific presentations by professionals from inside and outside HPU. In this seminar, students will attend presentations by guest speakers on current marine research and management issues, and will critically evaluate their format and content. Repeatable for up to 3 credits.",""
"MARS4040","Survey of the phylogeny, anatomy, physiology, behavior, and ecology of marine birds, with an emphasis on North Pacific species. The goal of this course is to provide students with the understanding of the ecology of these marine top predators and their role in marine ecosystems. Hands-on activities in the laboratory, field work, and guest lectures by resource managers will augment the course material.",""
"MARS4050","Application of ecological principles and methods to marine habitats are explored. Marine life, including plankton, nekton, neuston, and benthos, are studied in ecological settings from estuaries to the deep sea. Subject matter draws heavily from the original scientific literature. BIOL 3060 is recommended.",""
"MARS4080","Basic physical and mathematical principles applied to ocean dynamics. Topics include: properties of seawater, physical laws and classification of forces, the equation of motion, turbulence, geostrophic flow, wind-driven circulation, thermohaline circulation, waves, and tides.",""
"MARS4100","Coastal communities throughout the world are highly reliant on ocean ecosystems, and threats to ocean resources places at risk the livelihoods, cultures, and economies of coastal people. In this course, students will develop strategies and leadership skills to address the key threats to ocean resources such as land-based pollution, overfishing, and climate change adaptation and will critically examine innovative solutions to these threats. Students will gain a deep understanding of cultural resource management approaches and their application in modern policy contexts, providing a transferable skill set for emerging ocean leaders and professionals.",""
"MARS4210","This course will cover major aspects of marine fisheries including the types of gears and practices used, life histories, the recruitment and population dynamics of harvested species, and the structure and assessment of stocks. An overarching theme will be the effects of fishing and climate variability on the aforementioned dynamics of individual species and fisheries, as well as ecosystems. Ultimately, the course will focus on how such dynamics present management dilemmas and the consequential management solutions to these problems.",""
"MARS6040","Survey of the ecology of seabirds and their role in marine ecosystems, with an emphasis on North Pacific species. Hands-on activities in the laboratory, field work, and guest lectures by resources managers will augment the course material. Students will complete any independent project using observations collected during the course activities.",""
"MARS6050","A graduate course emphasizing ecological interactions of marine organisms with their own and other species and with the physical environment. Designed to survey not only what is known about marine ecology but how that knowledge was acquired, the course strongly emphasizes readings from original scientific literature.",""
"MARS6080","This course provides students with an in-depth survey of marine systems from a physical perspective. Topics include physical and thermodynamic properties of seawater; temperature, salinity, and density distributions; ocean heat budget; ocean effect on climate; geostrophic flow; Ekman balance; potentional vorticity and Sverdrup balance; thermohaline circulation; waves; and tides.",""
"MARS6210","This course will address a marine science branch of great relevance to marine science (MSMS) and global leadership and sustainability (MASUST) students, which has not been part of the HPU curriculum to date. This course will be available to graduate students, and will be offered concurrently with a course designed for undergraduate MARS and ENVS (MARS 4210).",""
"MARS6250","Coastal communities throughout the world are highly reliant on ocean ecosystems. Threats to ocean resources place at risk the livelihoods, cultures, and economies of coastal people. In this course, students will gain a deep understanding of community-based and culturally-informed approaches to marine resource management, their application in modern policy contexts, and their strategies for achieving sustainability. Our focus on Hawai'i and the Pacific region will foster a unique understanding of ocean governance challenges, as students identify innovative solutions to address the key threats to ocean environments, and develop a transferable skill set for emerging ocean leaders and professionals.",""
"MARS6930","This is a seminar course for students in the MSMS program designed to expose graduate students to new developments and discoveries in Marine Science by taking advantage of seminars by professionals from inside and outside HPU. In this seminar, student will attend presentations by guest speakers on current marine research and management issues and will critically evaluate their format and content. Repeatable for up to 2 credits.",""
"MATH1105","An intermediate algebra course connecting the real world to mathematics. Topics include: factoring polynomials and solving equations by factoring, rational expressions and equations; graphing functions; systems of equations; absolute value equations; inequalities; radical expressions and functions; quadratic equations and their graphs; and quadratic formula. Students may enroll concurrently in MATH 1106. The default grade mode for this class is for a letter grade; however, students may elect to take this class on a Credit/No Credit basis upon consultation with the instructor and an academic advisor.",""
"MATH1123","This course provides an introduction to descriptive and inferential statistics. Topics include describing, summarizing, and displaying data; using sample statistics to estimate population parameters; evaluating hypothesis using confidence levels with application to the physical and social sciences; logically drawing conclusions based on statistical procedures; and quantifying the possibility of error and bias.",""
"MATH1130","This course covers mathematical topics that prepare students for higher-level mathematics courses. Topics include: functions and their properties, polynomial and rational functions and their graphs, transformation method of graphing functions, exponential and logarithmic functions and equations, right-triangle trigonometry, an introduction to trigonometric functions and their graphs, solving systems of inequalities, solving systems of equations. Optional topics: matrices, determinants and Cramer’s rule, linear programming, fundamental counting principle, permutations and combinations, and an introduction to probability. Credit may not be earned for MATH 1130 if credit has been granted for MATH 1150 or higher.",""
"MATH1140","This course is a continuation of MATH 1130 and covers further mathematical topics that prepare students for higher level mathematics courses. Course topics include: a complete development of trigonometry including trigonometric functions and their identities; solving trigonometric equations, applications of trigonometry to vectors; polar coordinates, and polar form of complex numbers; rectangular form and polar form of conic sections; matrices and matrix formulation of solution of systems of equations; determinants and Cramer’s rule; introduction to sequences and series; and the binomial theorem. Credit may not be earned for MATH 1140 if credit has been granted for MATH 1150 or higher.",""
"MATH1150","A course for well-qualified students who are prepared to complete the pre-calculus sequence in one semester. The course includes all the topics covered in Pre-Calculus I, MATH 1130, and Pre-Calculus II, MATH 1140, but is presented in one semester. Credit may not be earned for MATH 1150 if credit has been granted for MATH 1130 & MATH 1140.",""
"MATH2214","A course in single variable calculus which emphasizes limit, continuity, derivative, and integral. Primary focus is on the derivative with an introduction to the integral and elementary applications of the integral. Differentiation topics include: chain rule, implicit differentiation, curve sketching, and maxima and minima problems. Integration topics include: fundamental theorem of calculus, method of substitution, area between curves, and volumes of revolution.",""
"MATH2215","A continuation of Calculus I, completing the development of the integral. Integration topics include: integration by parts, trigonometric substitution, method of partial fractions, length of curves, surfaces, and volumes of revolutions. Other topics include: infinite series, tests of convergence; power series, radius of convergence, and Taylor’s series. Other topics may include calculus of conic sections, vector algebra, and scalar and vector product.",""
"MATH2216","A course in calculus of several variables. The course begins with vector algebra, scalar and vector product, and elementary applications of vectors. Emphasis is placed on differentiation and integration of functions of several variables with peripheral focus on limits and continuity. Differentiation topics include: partial derivative, directional derivative, chain rule formula, gradient, maxima and minima problems, Lagrange multipliers, divergence, and curl. Integration topics include: iterated integrals in rectangular, polar, and spherical coordinates; line integrals; Green’s theorem; divergence theorem; and Stoke’s theorem.",""
"MATH3000","An introductory upper division course in proof writing and mathematical logic which covers sentential logic and first order logic and will include the methodology of writing proofs in mathematics and communicating these proofs effectively to an audience. The course will examine logic from both the syntactic and semantic perspectives. Topics include an introduction to proof methods and the deductive calculus, tautologies and validities, the soundness and completeness theorems, translation of English sentences into logic, inference rules such as universal and existential instantiation and generalization, mathematical induction, and the presentation of a theorem with lemmas and corollaries for publication.",""
"MATH3305","Elementary linear algebra with applications in the sciences and to computers and economics. Topics include: systems of linear equations; matrix theory, determinants and eigenvalues; geometry of Euclidean n-space; abstract vector spaces, bases, linear independence, and spanning sets; linear transformations, null space, and range; diagonalization of matrices; eigenvalues and eigenvectors of symmetric matrices; quadratic forms, inner products; and orthonormalization.",""
"MATH3470","This course is an introduction to the mathematical theory of statistics. Topics covered include discrete and continuous distributions, tests of hypotheses, estimation, analysis of variance, regression and correlation, sequential analysis, and rank order statistics.",""
"MATH4470","This course explores applications of differential equations. Topics for this course include application of second order linear equations, series solutions of second order linear equations including Euler equations and Bessel’s equation, partial differential equations and Fourier series including heat equation, wave equation, and Laplace’s equation.",""
"MC1000","This course is an introduction to the practices of mass communicators and provides an overview of the history, rationale, and landscape of the traditional areas of advertising, journalism, and public relations, illustrated by reviews and examples. The course includes strategies, techniques, and applications, including an exploration of specific examples and case studies.",""
"MC2100","Introduction to quantitative and qualitative methods used to study audiences, contents, and effects of mass media. Course content focuses on advertising, journalism, and public relations communication using social science research skills and data analysis. Approaches include content analysis, survey research, focus groups, and other empirical methodologies.",""
"MC3120","A review of the basic structure of today’s news and information practices and basic writing for all media. The course reviews career options and social, legal, technical, and ethical environments in which mass media operate. It distinguishes news from other types of writing and provides instruction and practice in writing designed to enhance student skills and provide opportunities for publication in the digital age.",""
"MC3730","This course introduces students to research, planning, and relationship development with several media outlets and their representatives who are vital to the development of effective long- and short-term strategic communication programs and campaigns. It includes lessons on how to evaluate both advertising and news/editorial media, how to plan a media program, how to develop a media plan, how to work with the various media representatives for purchased space or time, and, in other cases, how to work with editorial staff for placement of public relations material. Includes selected media tours.",""
"MC3900","This course covers the basic requirements of newswriting and reporting for the student run newspaper Kalamalama. This class will include interviewing, outside reporting assignments, covering news events and creating news stories for the online newspaper and its social media channels. Student reporters may repeat the course up to three times for a total of 3 credit hours as an unrestricted, upper division elective.",""
"MGMT2000","A primer for the manager, this course lays out the underlying process for planning, directing, and controlling organizational resources for accomplishing the goals of the firm. This study of the functions of management includes how to develop a plan, how to organize resources of the firm, how to motivate employees to execute organizational initiatives, and how to set up a feedback system.",""
"MGMT3001","This course covers the challenges and rewards associated with managing today’s increasingly diverse workforce. The course begins by tackling the question: “Why does diversity matter?” The course explores how and why stereotyping, prejudice, bias and discrimination continue to be pervasive in global workplaces and marketplaces. Finally, the course explores institutional and individual actions that can be applied to promote social justice and inclusion in the workplace and the marketplace.",""
"MGMT3020","This course introduces the basics of project management in an information systems context. Students will become familiar with the project life cycle and the supporting processes and knowledge areas. Particular emphasis is placed on the foundation principles as well as the latest trends guiding project management in organizations. Students will be introduced to a variety of tools supporting project management.",""
"MGMT3061","This course examines the role of the law and ethical decision making on business ownership and management, and the impact of these business decisions on society at large. Topics focus on ethical doctrines and general business law topics including torts, contracts, consumer law, property law, employment law, environmental law, and international law.",""
"MGMT3300","An introduction to the problems of environment and structure that international managers face. Topics in comparative management and international business operations are covered, and the impact of the multinational firm is analyzed.",""
"MGMT3400","An overview and survey of human resource management and personnel administration. Course topics include: selection, staffing, remuneration, labor relations, training, and development of human resources in organizational environments such as business, government, and not-for- profit agencies.",""
"MGMT4001","One of the capstone courses of the business administration curriculum integrating and building upon the curriculum. The course is designed to guide students in making business policy analyses and decisions through integrating the underlying principles of the functional business areas (finance, human resource management, management theory, etc.) and continuous reappraisal of objectives and policies. The course employs the case method approach in dealing with the larger questions faced by top management. This course should be taken in the student’s final semester in the program. Capstone course.",""
"MGMT6002","This course examines essential aspect of leadership, organizational culture and group dynamics. The seminar surveys various leadership styles, the characteristics, effectiveness and appropriateness of each for different situations. Additionally, the course explore the interaction or organizational culture and leadership on team and organization functioning. Leadership behaviors are analyzed and discussed.",""
"MIS2000","In this hands-on course you will learn to use the tools of a knowledge worker to help you take raw data and transform it into compelling information to be used for business decision making. You will sharpen your analytical and problem-solving skills using spreadsheet and database software. You will also be exposed to the tools and best practices for communicating your information using tables, charts, and graphs. Upon successful completion of this course you will have the basic technical skills to be more productive in your future business courses as well as in an actual business environment.",""
"MIS3000","Information systems are an integral part of all business activities and careers. This course is designed to introduce students to contemporary information systems and demonstrate how these systems are used throughout global organizations. The focus of this course will be on the key components of information systems—people, software, hardware, data, and communication technologies—and how these components can be integrated and managed to create competitive advantage. Through the knowledge of how IS provides a competitive advantage, students will gain an understanding of how information is used in organizations and how IT enables improvement in quality, speed, and agility.",""
"MKTG3000","A general introduction to fundamental marketing principles and policies. Course units include: marketing functions; price policies and controls; trade channels, merchandising, and market research; competitive practices and government regulations; product development; and integration of marketing with other activities of the business enterprise.",""
"MKTG3100","A course that explores how consumers have changed relating to their purchase behaviors and explore trends for the future. Students learn how to design a winning customer behavior survey and analyze the data. Several state-of-the-art techniques, such as internet research, are discussed to apply survey results to increase customer satisfaction and loyalty, and subsequently sales.",""
"MKTG3630","The study of the principles and function of retailing and retail management. The course features analysis of various fundamental problems in retailing, location, and layout; merchandise planning; buying and selling organizations; expense analysis and control; and coordination of store activities.",""
"MKTG6001","The course focuses on formulating and implementing marketing management strategies and policies. It provides a systematic framework about how new technologies will change business with an insistence that strategy drive tactics, and with a measurement mindset.",""
"MULT1100","This course introduces foundational software tools and writing systems used in modern multimedia communication and design. Instruction provides students with the technical know-how and context necessary to proceed in the multimedia program through software tutorials as well as the creation of physical and web-based portfolio material. The use and purpose of the static image, composition, color, fonts, and motion graphics will be explored through in-class instruction and home-based experimentation.",""
"MULT2000","This course provides an overview of the foundational elements of cinema studies, covering the technical, historical, and theoretical aspects of the field. Subjects we will survey include cinematography, editing, production design, primitive and classical cinema, the function of genre, avant-garde, and documentary film. Components emphasized include the language of film studies and the early history of film.",""
"MULT2465","This course provides an introduction to digital video and audio production concepts and techniques. Theory is integrated with practical applications in motion picture analysis, video capture, lighting, audio production, and nonlinear editing. The course focuses on developing visual storytelling skills and fosters individual responsibility for course projects and deliverables in a collaborative environment.",""
"MULT3510","This course covers the history, theory, and practice of digital non-linear editing. It concentrates on both the technical skills needed to produce a competently-edited audio-video program and the aesthetic concerns an editor faces for different types of projects.",""
"MULT3600","Creative Narrative Production will strengthen the student’s cinematic storytelling abilities through the creation of several short digital-video productions and a short screenplay. This class is designed to encourage an organic exploration of storytelling, strengthen trust in one’s own ideas and instincts, and heighten student curiosity about human nature and the world at large. The heart of the course involves exploration of visual language on a practical level while keeping in mind our technical, epochal, and cultural contexts.",""
"MULT3700","This course covers digital audio capture and processing for multiple platforms including radio, cinematic forms, and television. Students learn and practice techniques for recording, editing, mixing, and presenting audio. Areas addressed include: foley, sound effects, interviewing, voice over, and music.",""
"MULT3750","This course covers motion graphics and compositing using Adobe After Effects and other related software. The course instructs students in how to learn to use one’s creativity to produce attention-grabbing, integrated communication design for film, television, and the web. Motion graphics are responsible for many effects found in movie trailers, opening film credits, television commercials, animated network identities, short promos, and advertising of all types.",""
"MULT3780","This course explores the history, theories, production practices and ethical considerations of documentary filmmaking. Topics include how documentary filmmaking evolved; close textual analysis of documentary films; ethical issues of the documentary mode; and practical applications, including subject research, narrative development, camera operations, lens choices, lighting, collaboration, budgeting, producing, and postproduction. The course provides students with the knowledge, insights, and skill set needed to research and develop a documentary film project while facilitating the development of the student’s cinematic voice and vision. This is a project-based course, and the final outcome includes a documentary pitch package and short film.",""
"MUS1000","An introductory exploration of the evolution of Western classical music (WCM) from the Middle Ages to the present in relation to the background of life and art. Major historical movements in WCM are covered as well as the basics of reading western music notation. In addition, the impact and influence of non-western music on WCM will be examined. Field trips will be made to local performing groups.",""
"MUS1400","An introduction to the fundamental workings of tonal music: reading and notating music; rudiments of music theory and terminology; elementary formal analysis; development of aural skills, including interval recognition, sight-singing, and rhythmic, melodic and harmonic dictation. Individual listening lab work required outside of class.",""
"MUS1600","Beginning Hula Performance enables students to develop proficiency in basic hula movements and perform chants and hula of Hawai‘i. Students will express their dance and vocal talents through hula and chant, develop an appreciation for the stories and beloved places of Hawai‘i, and learn about the performance practices and traditions of hula. Performance venues may include campus events and shows for the wider community. Repeatable for up to 8 credits.",""
"MUS4000","Course is designed as an exploration of music topics in music history, music literature, music theory, applied music, music education, and ethnomusicology. The topic will change each time the course is offered. Repeatable for credit (up to 9 credits.)",""
"PADM1000","This course is an introduction to the study of leadership in America. It compares the administrative processes used in private and non-profit organizations and the U.S. government, including the U.S. military. This course introduces students to the theories of leadership and the styles, traits, and myths of leadership including the history, cultures, and ethical basis for good leadership in an American context.",""
"PADM6000","This introduction to public administration and public service provides insights into the theory, practice, and the interdependence and administration of government and nonprofit organizations at the federal, state, and city level. Topics include an introduction to research methodologies, principles and tools required in government budgeting and resource management, public organization theory, and decision-making, interprofessional team-based leadership, an understanding of ethics and accountability as it relates to the public sector, and a summary of the essential principles and issues relating to social, cultural, and legal matters that are relevant to the administration of public service organizations.",""
"PADM6100","This course introduces traditional and contemporary issues in public personnel administration. It examines the historical context and legal rights and responsibilities that public administrators encounter. Various components of personnel administration are covered including recruitment and selection; position management and classification; compensation, performance appraisal, unions and collective bargaining; and employee development.",""
"PH1000","This course introduces students to and familiarizes them with the determinants of various health outcomes, including physical, psychological, social and interpersonal, and environmental health. The course emphasizes personal responsibility, decision-making, and understanding the active ingredients for a long, happy, and healthy life.",""
"PH1200","This course explores how the historical development of human societies led to the creation and evolution of the public health field and how this has altered the course of human history. Students will explore the philosophical and scientific underpinnings of public health and the factors that have shaped the development of modern public health services. The evolution of modern public health structures and functions will be examined within the context of society structure, historical events, and scientific understanding. Concepts of population health, disease control/prevention, disability, and premature death will be examined through discussion of contemporary and historical case studies.",""
"PH2010","Students will critically analyze the history, trends, future outlook, and issues regarding drugs and drug use and misuse, as well as the attitudes, values, policies, and practices of diverse groups, communities, and populations. This course takes a multidisciplinary approach to study the effects of drug use and misuse (e.g., over-the-counter drugs, illicit drugs, tobacco, and alcohol) on human physiology and society. Community and population health promotion are emphasized in this course.",""
"PH3015","This course explores the relationships and dynamics among various components of culture, health, and illness. Focus is placed on understanding the impact of culture on health, health beliefs, and health practices, with emphasis on different multicultural populations. The impacts of societal norms, legal/political factors, and ethical considerations influencing health education, health promotion, program planning/implementation/evaluation, healthcare policies, service delivery, and health disparities are addressed.",""
"PH3020","This course introduces the basic principles and methods of epidemiology, the study of the distribution and determinants of health-related states and events in populations and the application of this study to the control of health problems. Critical thinking, analytic skills, and application to public health practice are emphasized as students engage in active learning bio individual and group activities, project, case studies, discussions, and critical review and analysis of scientific literature. Topics covered include data collection, measurement, presentation, analysis, and interpretation; disease occurrence; descriptive and analytic epidemiology; association and causation; screening; outbreak investigations; epidemiology in policy-making; and special epidemiologic applications.",""
"PH3025","This course explores advanced understandings of human sexuality through a multi-disciplinary approach combining pedagogies, students, and faculty from different departments in the College of Heath and Society. Concentrations will include: 1) bio-medical sexuality: sexual and reproductive health and disease, anatomy, and physiology; 2) psychosexual development: relationships, marriage, and family systems; sexual dysfunction; and trauma; 3) sexuality education and other organizational efforts that impact sexual behavior and health; and 4) sociopolitical issues: sexuality education; historical, legal, political, social, and ethical issues impacting sexuality.",""
"PH3065","An overview of the linkages between the natural and built environment and human health. Topics include specific environmental agents, such as pesticides and mosquito-borne pathogens, as well as important public health arenas, such as water and air quality, waste, and climate change.",""
"PH4010","An overview of the health care system in the United States and its challenges and instruction in the core elements of health policy and analysis including problem definition; background; political, economic, and social landscape; and development of policy options and recommendations. Emphasis will be on major health policy institutions and important issues that intersect these institutions. The key components include the major insurers, Medicare, Medicaid, Congress, and state legislatures. In addition, special focus will be given to the uninsured, quality of care, and long-term care.",""
"PH4030","PH 4030 is the first course in the two-course undergraduate Practicum series and focuses on orienting students to field-based internships, identifying opportunities tailored to individual students interests and needs, preparing the students for internship application procedures (including drafting and revising resumes, cover letters, and introductory emails and practicing interview skills), and contextualizing the internship program as part of a larger career development framework. This course includes guest lectures from local public health professionals on selected topics like networking, community member participation in panel presentations, reviewing student resumes, and mock interviews.",""
"PH4040","Students will learn the purposes of and the processes involved in evidence-based public health research from start to finish. Students will work in teams to identify their own research questions, find and critique existing scientific literature, develop research methods, collect and analyze data, and present their research findings.",""
"PHIL1001","An introductory study of the intellectual traditions of civilizations native to the Asian-Pacific region. Primary attention is on the intellectual traditions of Polynesia, China, and Japan. These are encountered through translated works, oral traditions, secondary sources, and field experiences. Topics include critical understandings of personal and communal identity, value, spirituality, theories of reality, and ways of knowing in Asian-Pacific traditions.",""
"PHIL2500","This course introduces students to a range of moral issues (such as abortion, euthanasia, and gay marriage) which are the subject of social ethics and moral policy in America, as seen through the lenses of indigenous and African-American thought and contemporary American moral philosophers. Students will become acquainted with moral theories and important legal cases. Group Socratic discussion involving critical thinking and the articulation and defense of moral reasoning will be emphasized.",""
"PHIL3301","A study of classical Indian philosophy through yoga philosophy and practice. Emphasis is on reading original texts (e.g., Upanishads, Bhagavad Gita, Yoga Sutra, etc.) in English translation accompanied by secondary source writings and lectures on key philosophical concepts such askarma and rebirth. To demonstrate the relation between yoga practice and philosophical ideas, students will be instructed, to a limited degree, in the practice of meditation and yoga postures when possible.",""
"PHYS2030","The first semester of an algebra-based study of mechanics, thermodynamics, and wave phenomena with an emphasis on problem solving.","PHYS 2031"
"PHYS2031","Laboratory component of PHYS 2030.","PHYS 2030"
"PHYS2050","The first semester of a rigorous, calculus-based study of mechanics, thermodynamics, and wave phenomena with an emphasis on problem solving.","PHYS 2051"
"PHYS2051","Laboratory component of PHYS 2050.","PHYS 2050"
"PSCI1400","An analysis of the American political system. Topics include the central theme of democracy in American politics as well as structural factors including the Constitution, our federal system, media, public opinion, interest groups, and social movements. Additional topics deal with how federal institutions such as the Congress, the presidency, the bureaucracy, and the Supreme Court work. The course looks at federal policy in civil rights and liberties, the economy, social welfare, foreign policy, and national defense.",""
"PSCI2100","This course will introduce students to the field of social scientific research with special emphasis on their roles as consumers of research in their intended majors.",""
"PSCI3401","A course that provides students with immediate understanding and analysis of current political issues, trends, dilemmas, processes, and problems. Students read a variety of approaches to the issues that are the focus of the course, and they become conversant with terminology and philosophies that inform the solutions to topics in American politics.",""
"PSCI3412","A survey of the variety of forces that shape foreign policy for the United States. It highlights major policy problems on the agenda and addresses questions of grand strategy, regional and bilateral relations, and the ways in which domestic forces affect the content of American foreign policy. The course also examines the key institutions and actors involved in foreign policy making, a wide range of recent foreign policy decisions, and the economic and military issues confronting the United States in the early 21st century.",""
"PSCI3500","The course explores how different political systems are formed, maintained, and then change. It examines politics in democratic, democratizing, and authoritarian nations and highlights issues such as governmental systems (parliamentary and presidential systems), types of electoral systems, unitary vs. federal states, political economy, social movements, and political change. It focuses on a broad political analysis of several countries in such regions as Asia, Europe, and the Americas.",""
"PSCI6400","An overview of the foreign and security policies of the People’s Republic of China (PRC) since 1949, emphasizing the post-Cold War period, and its role as a regional power in Asia. The PRC-US relationship will also be explored, with reference to their shared and conflicting interests in Asia.",""
"PSCI6601","A graduate-level seminar that highlights the changing nature of international relations in a new era of globalization and terrorism. The course introduces students to the “classical” study of international relations using the opposing paradigms of modern IR theory: realism and liberalism. It looks at specific theoretical issues (the role of institutions, globalization, terrorism, etc.) through the lens of regions and specific countries. Students explore through research and their own presentations/participation a contemporary conflict.",""
"PSY2100","Provides skills necessary for data analysis in preparation for research methods course and prepares students to analyze and interpret social science research findings. Students study descriptive and inferential statistics and parametric and nonparametric methods. Includes selection of proper statistical measures and techniques and use of popular computerized statistical packages.",""
"PSY2200","Familiarizes students with principal research approaches, including descriptive, correlational, and experimental techniques and the strengths and limitations of each methodology. Includes hands-on experience in the formulation of proper research design, data collection and analysis, and professional communication of results and conclusions.",""
"PSY3140","A liberal arts survey of all aspects of drug abuse including pharmacology, physiology, history, culture, philosophy, and treatment.",""
"PSY3160","This course introduces students to the psychology of music. A survey of topics in this field will include development of musical preferences, emotional responses to music, perception of musical elements, cultural values in music, and music therapy.",""
"PSY3200","Introduces the biological bases of human and nonhuman behavior, with emphasis on underlying physiological mechanisms and on the development, evolution, and function of behavior. Topics include neuroanatomy, neurochemical communication, sensation and perception, learning and memory, motivation, drugs, emotion, movement, sleep, consummatory behavior, reproduction, and abnormal behavior.",""
"PSY3235","A study of cross-cultural differences in perception, motivation, expression, verbal and nonverbal behavior, and values and meaning systems and the implications of these differences for cross-cultural interaction and understanding.",""
